,Country,PEIIndexp,PEIIndexi,PEItype,ACLED Index,GDP per Capita,Total Population
0,Afghanistan,,35,Very Low,13.0,,41128771.0
1,Angola,33.0,36,Very Low,58.0,2298.74831182791,35588987.0
2,Albania,46.0,50,Low,123.0,5158.50912786813,2775634.0
3,Argentina,64.0,67,High,62.0,12932.4695302972,46234830.0
4,Armenia,50.0,58,Moderate,71.0,5111.3700275117,2780469.0
5,Antigua and Barbuda,,48,Low,167.0,16485.441643494,93763.0
6,Australia,72.0,70,High,134.0,60797.9586475866,25978935.0
7,Austria,74.0,79,Very High,139.0,47043.3432250759,9042528.0
8,Azerbaijan,36.0,36,Very Low,65.0,5571.73282660707,10175016.0
9,Burundi,,27,Very Low,35.0,262.18480604632,12889576.0
10,Belgium,63.0,73,Very High,125.0,44075.8614379326,11669446.0
11,Benin,58.0,55,Moderate,45.0,1255.60729259079,13352864.0
12,Burkina Faso,70.0,49,Low,13.0,731.642932594845,22673762.0
13,Bangladesh,31.0,38,Very Low,22.0,1784.7388872872,171186372.0
14,Bulgaria,53.0,61,High,143.0,9502.4112808905,6465097.0
15,Bahrain,37.0,41,Low,112.0,24395.4724708891,1472233.0
16,Bahamas,48.0,55,Moderate,135.0,,
17,Bosnia,41.0,51,Moderate,,,
18,Belarus,31.0,36,Very Low,100.0,6217.14729162103,9208701.0
19,Belize,,53,Moderate,55.0,6345.32283061288,405272.0
20,Bolivia,44.0,53,Moderate,80.0,3118.39639591087,12224110.0
21,Brazil,64.0,67,High,6.0,8831.12671264256,215313498.0
22,Barbados,62.0,65,High,167.0,16255.6267543271,281635.0
23,Bhutan,38.0,66,High,167.0,,782455.0
24,Botswana,59.0,58,Moderate,108.0,6657.07308570869,2630296.0
25,Central African Republic,18.0,43,Low,34.0,362.570791079489,5579144.0
26,Canada,87.0,79,Very High,103.0,44910.4417282801,38929902.0
27,Switzerland,,80,Very High,167.0,88464.029320396,8769741.0
28,Chile,74.0,74,Very High,75.0,14358.3476757158,19603733.0
29,Côte D'Ivoire,44.0,47,Low,,,
30,Cameroon,30.0,37,Very Low,24.0,1445.55100581557,27914536.0
31,"Congo,  Republic of",34.0,28,Very Low,,,
32,Colombia,62.0,61,High,10.0,6857.79332248056,51874024.0
33,Comoros,16.0,34,Very Low,117.0,1362.77802062397,836774.0
34,Cape Verde,68.0,68,High,156.0,,
35,Costa Rica,79.0,75,Very High,126.0,13373.5888305621,5180829.0
36,Cyprus,73.0,73,Very High,111.0,29637.853515625,1251488.0
37,Czech Republic,80.0,76,Very High,135.0,,
38,Germany,84.0,81,Very High,93.0,43032.1420845281,84079811.0
39,Djibouti,33.0,33,Very Low,105.0,2951.89723009175,1120849.0
40,Denmark,90.0,87,Very High,151.0,60113.0859412555,5903037.0
41,Dominican Republic,,56,Moderate,97.0,8732.08072434746,11228821.0
42,Algeria,44.0,45,Low,80.0,3995.88188543925,44903225.0
43,Ecuador,55.0,54,Moderate,46.0,5590.54163412359,18001000.0
44,Egypt,46.0,33,Very Low,60.0,,
45,Spain,72.0,73,Very High,119.0,27434.8799078797,47615034.0
46,Estonia,,82,Very High,167.0,21207.3139170468,1344768.0
47,Ethiopia,41.0,34,Very Low,25.0,857.315496106272,123379924.0
48,Finland,83.0,87,Very High,156.0,47088.3286279941,5556880.0
49,Fiji,35.0,55,Moderate,156.0,5130.66481851785,929766.0
50,France,75.0,71,Very High,61.0,38913.9374113778,67935660.0
51,Micronesia,,59,Moderate,167.0,,
52,Gabon,26.0,30,Very Low,118.0,6641.52659502105,2388992.0
53,United Kingdom,65.0,68,High,91.0,47232.2718078292,66971411.0
54,Georgia,60.0,58,Moderate,135.0,5424.57544383518,3712502.0
55,Ghana,63.0,64,High,47.0,2040.0426240456,33475870.0
